shipname,filename,description,image
rhino,f0s4.json,"The Battleship of the Zumbalari faction. Has a large amount of weapon slots, which are very flexible - it can fit dual Ion Cannons when expanded, a Heavy Antimatter Bomb, or up to four Plasma Webs. The enemy version uses a Stealth Field to try and sneak up to the player and use Plasma Throwers, making it quite easily dispatched.",f0s4.png
scout,f1s1.json, ,f1s1.png
scout mk2,f1s1_mk2.json, ,f1s1_2.png
paladin,f1s2.json, ,f1s2.png
javelin,f1s3.json, ,f1s3.png
excalibur,f1s4.json, ,f1s4.png
dart,f1s5.json, ,f1s5.png
spectrum,f2s1.json, ,f2s1.png
spectrum mk2,f2s1_mk2.json, ,f2s1_2.png
zephyr,f2s2.json, ,f2s2.png
zion,f2s3.json, ,f2s3.png
stalker,f2s4.json, ,f2s4.png
trident,f2s5.json, ,f2s5.png
raven,f3s1.json, ,f3s1.png
raven mk2,f3s1_mk2.json, ,f3s1_2.png
praetor,f3s2.json, ,f3s2.png
thunder,f3s3.json, ,f3s3.png
manticore,f3s4.json, ,f3s4.png
drone,f4s1.json, ,f4s1.png
drone mk2,f4s1_mk2.json, ,f4s1_2.png
dragonfly,f4s2.json, ,f4s2.png
hornet,f4s3.json, ,f4s3.png
tarantula,f4s4.json, ,f4s4.png
messenger,f5s1.json, ,f5s1.png
messenger mk2,f5s1_mk2.json, ,f5s1_2.png
kryptoria,f5s2.json, ,f5s2.png
proxima,f5s3.json, ,f5s3.png
chronos,f5s4.json, ,f5s4.png
embryo,f6s1.json, ,f6s1.png
embryo mk2,f6s1_mk2.json, ,f6s1_2.png
chrysalis,f6s2.json, ,f6s2.png
oblivion,f6s3.json, ,f6s3.png
beholder,f6s4.json, ,f6s4.png
zombie,f6s5.json, ,f6s5.png
spike,f7s1.json, ,f7s1.png
spike mk2,f7s1_mk2.json, ,f7s1_2.png
probe,f7s2.json, ,f7s2.png
hatchet,f7s3.json, ,f7s3.png
freighter,f7s4.json, ,f7s4.png
object 34,f8s1.json, ,f8s1.png
object 18,f8s2.json, ,f8s2.png
object 61,f8s3.json, ,f8s3.png
object 117,f8s4.json, ,f8s4.png
iss corvette,f9s1.json, ,f9s1.png
iss gunboat,f9s2.json, ,f9s2.png
iss caravel,f9s3.json, ,f9s3.png
iss galleon,f9s4.json, ,f9s4.png
iss man-of-war,f9s5.json, ,f9s5.png
bug,f12s1.json, ,f12s1.png
crab,f12s3.json, ,fns4.png
banshee,f13s1.json, ,f13s1.png
valkyrie,f13s2.json, ,f13s2.png
goblin,f13s3.json, ,f13s3.png
yeti,f13s4.json, ,f13s4.png
velez,f14s1.json, ,f14s1.png
rustbucket,f15s1.json, ,fs1.png
rattletrap,f15s2.json, ,fs2.png
nomad,f15s3.json, ,fs3.png
barracuda,fas1.json, ,fas2.png
scorpio,fas2.json, ,fas3.png
leech,fas3.json, ,fas1.png
leech mk2,fas3_mk2.json, ,fas1_2.png
nemesis,fas4.json, ,fas4.png
corn,fns10.json, ,fns10.png
falcon,fns2.json, ,fns5.png
egg,fns3.json, ,fns1.png
easter egg,fns3_mk2.json, ,fns1_2.png
viper,fns4.json, ,fns6.png
tyrant,fns5.json, ,fns7.png
eden,fns6.json, ,fns3.png
gladius,fns7.json, ,fns8.png
meteor,fns8.json, ,fns2.png
scavenger,fns9.json, ,fns9.png
invader1,invader1.json, ,space_invader.png
invader2,invader2.json, ,space_invader.png
invader3,invader3.json, ,space_invader.png
merchant,Merchant.json, ,merchant.png
mothership,mothership.json, ,mothership.png
myinvader,myinvader.json, ,space_invader.png
drones1,s1.json,The Scavenger drone. Has 112 hitpoints and a Pulse Cannon M2.,fs1.png
salvage drone,salvage drone.json,"A drone unobtainable for player use. The drone can be found in Event Horizon: Frontier, as the drone unlocked by the 'Salvage Drones' upgrade.",salvage_drone.png
santa,santa.json,,santa.png
santa drone,santa_drone.json,,santa_drone.png
smuggler,smuggler.json,,smuggler.png
starbase,starbase.json,"The Starbase. In Event Horizon, when attacking faction-occupied bases (or Christmas nodes) one of these is usually present. In Event Horizon Frontier, you have your own starbase which must be protected.",starbase.png
wormship,worm.json,,worm_head.png
jormungandr,worm_boss.json,,worm_head2.png
turret,turret1.json,,turret.png
outpost,outpost1.json,,outpost.png
epix,/ModdedShips/Crdguy's Entry.json,"My entry for this competition. Don't ask why I decided to submit it through Stratos, or why this is the first competition I have participated in. It's some battleship that goes pew pew. Kthx hope I win.",grab.jpg
slime,f16s1.json,,slime.png
amoeba,f16s2.json,,amoeba.png
slime2,f16s3.json,,slime2.png
covid-6019,f16s4.json,,devourer.png
hive,hive.json,,hive.png
starbase mk2,starbase2.json,"The Starbase Mk2. Unavailable in Event Horizon, but can be obtained through the arena in Event Horizon: Frontier. A larger starbase.",starbase2.png
